,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment,custodian_val_to_use_comgen
2442,AA,197_2491380276_Goldman Sachs,1859592817,OB,OB,No-pair,wire,Goldman Sachs  booked the wire transaction for SD 06-09-2021. Integrata yet to book.,Goldman Sachs 
2443,AA,316_2491400077_Goldman Sachs,1859771919,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2444,AA,171_2491450185_Goldman Sachs,1860151786,OB,OB,No-pair,interest,Goldman Sachs  booked the interest transaction for SD 07-27-2021. Integrata yet to book.,Goldman Sachs 
2445,AA,76_2491450221_Goldman Sachs,1860174399,OB,OB,No-pair,transfer pb isda,Goldman Sachs  booked the transfer pb isda transaction for SD 07-29-2021. Integrata yet to book.,Goldman Sachs 
2446,AA,412_2491400077_Goldman Sachs,1859772087,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2447,AA,267_2491400070_Goldman Sachs,1859770148,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2448,AA,224_2491450011_Goldman Sachs,1860083507,OB,OB,No-pair,transfer pb isda,Goldman Sachs  booked the transfer pb isda transaction for SD 07-22-2021. Integrata yet to book.,Goldman Sachs 
2449,AA,144_2491450185_Goldman Sachs,1860151778,OB,OB,No-pair,interest,Goldman Sachs  booked the interest transaction for SD 07-27-2021. Integrata yet to book.,Goldman Sachs 
2450,AA,427_2491400070_Goldman Sachs,1859770708,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
2451,AA,178_2491430283_Goldman Sachs,1860075509,OB,OB,No-pair,wire,Goldman Sachs  booked the wire transaction for SD 07-16-2021. Integrata yet to book.,Goldman Sachs 
2452,AA,428_2491400070_Goldman Sachs,1859770725,OB,OB,No-pair,dividend,Goldman Sachs  booked the dividend transaction for SD 06-21-2021. Integrata yet to book.,Goldman Sachs 
