,index,ViewData.InternalComment2
159,Net  Sub/Red posted at Integrata on 06/17/2021 . Caceis to book the same,44
160,AUM   plug  to match Caceis posted at   Integrata  for SD 06-16-2021.,44
161,Caceis   yet to reflect proceeds for trade for SD   06-11-2021,44
162,Subscription  posted at Integrata on 06/17/2021. Caceis to book the same.,44
163,AUM plug  to match Caceis posted at Integrata for SD 07-16-2021.,44
164,Caceis  yet to reflect proceeds for trade for SD  06-11-2021,44
165,AUM plug  to match Caceis posted at Integrata  for SD 06-18-2021.,42
166,Transfer  wire booked at Caceis for SD 06-17-2021. Integrata to book the same.,42
167,Transfer wire booked at Caceis for SD 06-21-2021. Integrata to book the same.,42
168,Transfer  wire booked at Caceis for SD 06-21-2021. Integrata to book the same.,42
169,AUM  plug  to match Caceis posted at  Integrata for SD 07-19-2021.,42
170,AUM  plug  to match Caceis posted at Integrata  for SD 06-18-2021.,42
171,Transfer  wire booked at Caceis for SD 06-22-2021.  Integrata to book the same.,41
172,AUM  plug  to match Caceis posted at Integrata  for SD 06-21-2021.,41
173,AUM plug  to match Caceis posted at Integrata  for SD 06-21-2021.,41
174,Transfer wire booked at Caceis for SD 07-21-2021. Integrata to book the same.,40
175,Transfer wire booked at Caceis for the SD of 08-03-2021. Integrata to book the same,40
176,AUM plug  to match Caceis posted at Integrata for SD 07-20-2021.,40
177,Research fees booked at Caceis for SD 07-21-2021 . To be posted in Integrata.,40
178,Transfer   wire booked at Caceis for SD 06-23-2021.   Integrata to book the same.,40
179,Transfer  wire booked at Caceis for SD 06-24-2021.  Integrata to book the same.,39
180,AUM  plug  to match Caceis posted at  Integrata  for SD 06-23-2021.,39
181,Transfer   wire booked at Caceis for SD 06-24-2021.  Integrata to book the same.,39
182,AUM  plug  to match Caceis posted at Integrata  for SD 06-23-2021.,39
183,Redemption  posted at Integrata. Caceis to book the same for SD 06-24-2021.,39
184,Net  Sub/Red-EST booked at Integrata for the SD of 06-242021. Caceis to book the  same,39
185,AUM plug  to match Caceis posted at Integrata for SD 07-21-2021.,38
186,Wire booked in Caceis for SD 06/25/2021. To be posted in Integrata,38
187,Transfer   wire booked at Caceis for SD 06-29-2021.   Integrata to book the same.,36
188,Transfer  wire booked at Caceis for SD 06-29-2021.  Integrata to book the same.,36
189,Caceis  yet to process the trade settlement proceeds for the SD of 06-29-2021,36
190,Transfer  wire booked at Caceis for SD 05-17-2021.  Integrata to book the same.,36
191,Transfer   wire booked at Caceis for SD 06-28-2021.   Integrata to book the same.,36
192,AUM plug  to match Caceis posted at Integrata  for SD 08-03-2021.,36
193,AUM plug  to match Caceis posted at Integrata for SD 07-22-2021.,36
194,AUM  plug  to match Caceis posted at  Integrata  for SD 06-28-2021.,36
195,AUM  plug  to match Caceis posted at  Integrata  for SD  06-28-2021.,36
196,AUM plug  to match Caceis posted at Integrata for SD 07-23-2021.,34
197,Redemption posted at Integrata. Caceis to book the same for SD 07-01-2021.,34
198,Wire booked in Caceis for SD 07/01/2021. To be posted in Integrata,34
199,Net Sub/Red posted at Integrata on 07/01/2021 . Caceis to book the same,34
200,Transfer  wire booked at Caceis for the SD of 07-26-2021. Integrata to book the same,34
201,Caceis yet to book the proceeds trade for 07/01/2021,34
202,Facturation Fees posted at Caceis. Integrata to posted the same for SD 07-02-2021.,33
203,Transfer  wire posted at Caceis. Integrata to book the same for SD 06-24-2021.,32
204,AUM plug to match Caceis posted at Integrata for SD 07-02-2021.,32
205,AUM plug  to match Caceis posted at Integrata for SD 07-02-2021.,32
206,Fee posted at Caceis for SD 07-05-2021. Integrata to post the same.,31
207,Transfer  wire posted at Caceis. Integrata to book  the same for SD 07-06-2021.,31
208,AUM plug  to match Caceis posted at Integrata for SD 07-26-2021.,30
209,"EXTERNAL CASH TRANSFER booked at caceis on 07/07/2021, Integrata to book the same",30
210,Transfer wire booked at Caceis for the SD of 07-27-2021. Integrata to book the same,30
211,"INTERNAL CASH TRANSFER booked at caceis on 07/07/2021, Integrata to book the same",30
212,Integrata yet to book the trade proceeds for 06/14/2021,29
213,AUM  plug  to match Caceis posted at Integrata  for SD 07/08/2021.,28
214,AUM plug  to match Caceis posted at Integrata  for SD 07/08/2021.,28
215,AUM plug  to match Caceis posted at Integrata  for SD 07-27-2021.,28
216,Transfer wire booked at Caceis for the SD of 07-28-2021. Integrata to book the same,28
217,Distribution  Fees booked at Caceis for SD :07-12-2021. Integrata to book the same,27
218,AUM  plug  to match Caceis posted at Integrata  for SD 07/09/2021.,27
219,AUM plug  to match Caceis posted at Integrata  for SD 07/09/2021.,27
220,Derivatives fee booked  at Caceis on 07/29/2021. Integrata to book the same.,26
221,"Fees booked at Caceis for SD 07/29/2021 ,Integrata to book the same",26
222,"Redemption booked at Integrata on 07/29/2021, Caceis to book the same",26
223,AUM plug  to match Caceis posted at Integrata  for SD 07-28-2021.,26
224,Derivatives fee booked at Caceis on 07/29/2021. Integrata to book the same.,26
225,FX  wire posted at Caceis. Integrata to book the same,26
226,Transfer  wire to be posted in Integrata,26
227,Transfer  wire booked at Caceis for SD 07-08-2021.  Integrata to book the same.,26
228,FACTURATION  FEES booked at Caceis for SD :  08-10-2021. Integrata to book the same.,25
229,Net Sub/Red posted at Integrata. Caceis to book the same for SD 07-15-2021.,25
230,Transfer wire booked at Caceis for SD 07-30-2021. Integrata to book the same.,25
231,Miscellaneous  Entry posted at Cacies. Integrata to book the same for SD 07-15-2021.,24
232,Transfer wire to be posted at Integrata for SD 07-09-2021.,24
233,"AUM plug  to match Caceis posted at Integrata  for SD 07-29-2021
.",24
234,Redemption posted at Integrata. Caceis to book the same for SD 07-15-2021.,24
235,Miscellaneous transaction booked at Caceis . To be posted in Integrata for SD 07-15-2021.,24
236,"Fees booked at Caceis for SD 07/30/2021 ,Integrata to book the same",24
237,AUM plug to match Caceis posted at Integrata for SD 07-14-2021,24
238, AUM plug to match Caceis posted at Integrata for SD 07-15-2021.,24
239,Caceis  yet to process the trade settlement proceeds for the SD of 07-26-2021,24
240,Transfer wire booked at Caceis for the SD of 08-09-2021. Integrata to book the same,24
241,"Transfer wire booked in Caceis for SD : 08-05-2021,  To be posted in Integrata.",24
242,Transfer wire booked at Caceis for the SD of 08-02-2021. Integrata to book the same,22
243,Transfer wire booked at Caceis for the SD of 07-19-2021. Integrata to book the same,22
244,Transfer wire booked at Caceis for the SD of 07-15-2021. Integrata to book the same,22
245,Transfer wire booked at Caceis for the SD of 07-16-2021. Integrata to book the same,22
246,"Month  end Interest booked at GS for SD : 08-01-2021, Integrata to book the same",21
247,FACTURATION  FEES  booked at Caceis for SD :  08-09-2021. Integrata to book the same.,20
248,PAYMENT MANAGEMENT FEES  booked at Caceis for SD 07-12-2021. Integrata to book the same,20
249,FROC payment booked at Integrata for SD : 06-10-2021 . Caceis to book the same,20
250,Transfer  wire booked at Caceis for SD 07-21-2021.  Integrata to book the same.,20
251,FROC  payment booked at Integrata  for SD : 06-10-2021 . Caceis to book the same,20
252,Caceis yet to book the proceeds trade for 07-19-2021,20
253,AUM plug  to match Caceis posted at Integrata  for SD 08-02-2021,20
254,PAYMENT MANAGEMENT FEES booked at Caceis for SD 06-10-2021. Integrata to book the same,20
255,Redemption posted at Integrata for SD 07-22-2021. Caceis to book the same,20
256,Transfer wire booked at Caceis for the SD of 06-16-2021. Integrata to book the same,19
257,Net Sub/Red-EST posted at Integrata for SD 07-22-2021. Caceis to book the same,19
258,VOLUNTARY CORPORATE ACTIONS booked at Caceis for the SD of 07-20-2021. Integrata to book the same,18
259,Caceis yet to book the proceeds trade for 06/17/2021,18
260,Transfer wire booked at Caceis for the SD of 08-03-2021.. Integrata to book the same,18
261,AUM  plug  to match Caceis posted at  Integrata for SD 07-05-2021.,17
262,FX to be settled at Integrata for SD : 07-26-2021,17
263,Transfer from PB to Feeder account,17
264,Transfer  wire booked at Caceis for the SD of 07-23-2021. Integrata to book the same,17
265,FX to be settled at Caceis for SD : 07-26-2021,17
266,Transfer wire booked at Caceis for the SD of 07-26-2021. Integrata to book the same,17
267,AUM plug  to match Caceis posted at Integrata  for SD 08-04-2021.,16
268,Caceis  yet to process the trade settlement  proceeds for the SD of 07-26-2021,15
269,Transfer wire booked at Caceis for SD 07-27-2021. Integrata to book the same.,15
270,Dividend to be booked in Integrata,14
271,Integrata  yet to book the trade proceeds for 06/15/2021,14
272,Interest  to be booked in Integrata,14
273,COUPONS/DIVIDENDS booked at Caceis. Integrata to book the same,14
274,AUM plug  to match Caceis posted at Integrata  for SD 08-05-2021.,14
275,Caceis yet to book the proceeds trade for 03/04/2021,12
276,FX to be settled at Integrata for SD  08-13-2021,12
277,External  Distribution fee booked at Caceis for SD : 08/12/2021.  Integrata to book the same,12
278,Caceis yet to process the trade settlement proceeds for the SD of 06-07-2021,10
279,"Transfer wire booked in Caceis for SD : 08/04/2021,  To be posted in Integrata.",9
280,Transfer wire booked at Caceis for the SD of 08-04-2021.. Integrata to book the same,9
281,Net Sub/Red posted at Integrata on 08/05/2021 . Caceis to book the same,9
282,Subscription posted at Integrata on 08/05/2021. Caceis to book the same.,9
283,Transfer wire booked at Caceis for the SD of 06-04-2021. Integrata to book the same,8
284,Transfer wire booked at Caceis for the SD of 08-05-2021.. Integrata to book the same,8
285,FX to be settled at Integrata for SD 08-13-2021.,8
286,Up/Down at Settle Date,7
287,Caceis yet to reflect proceeds from trade for SD 06-18-2021.,7
288,VOLUNTARY CORPORATE ACTIONS booked at Caceis for the SD of 08-05-2021. Integrata to book the same,7
289,Caceis yet to reflect proceeds for trade for SD 06-10-2021,7
290,Caceis yet to book the proceeds trade for 06/21/2021,6
291,Caceis yet to book the proceeds trade for 06/18/2021,6
292,Caceis yet to book the proceeds trade for 06/22/2021,6
293,Transfer wire booked at Caceis for the SD of 02-05-2021. Integrata to book the same,6
294,Transfer wire booked at Caceis for the SD of 04-30-2021. Integrata to book the same,6
295,External Distribution fee booked at Caceis for SD : 08/12/2021. Integrata to book the same,6
296,AUM plug  to match Caceis posted at Integrata for SD : 08/06/2021,6
297,"Dividend  booked in Caceis on 08/09/2021, Integrata to book the same",6
298,Caceis yet to book the proceeds trade for 06/16/2021,6
299,AUM plug to match Caceis posted at Integrata for SD 08-06-2021.,6
300,Transfer wire booked at Caceis for the SD of 12-08-2020. Integrata to book the same,6
301,Up/Down at Transaction ID,6
302,AUM  plug  to match Caceis posted at  Integrata  for SD 08-11-2021.,6
303,Caceis yet to process proceeds from trade for SD 08-09-2021,6
304,Caceis yet to book the proceeds trade for 06/23/2021,6
305,Caceis yet to process the trade settlement proceeds for the SD of 08-05-2021,6
306,AUM plug to match Caceis posted at Integrata for SD : 08/09/2021,5
307,Caceis  yet to reflect proceeds for trade for SD  06-15-2021,5
308,AUM plug  to match Caceis posted at Integrata for SD : 08/09/2021,5
309,Transfer wire posted at Caceis for SD 08-10-2021. Integrata to book the same.,5
310,Caceis yet to procees proceeds from Trade for SD 08-10-2021.,4
311,Transfer wire to be posted at Integrata for SD 08-11-2021.,4
312,Transfer wire booked at Caceis for SD 08-13-2021. Integrata to book the same.,4
313,AUM plug to match Caceis posted at Integrata for SD 08-10-2021.,4
314,Caceis yet to book the proceeds trade for 03/05/2021,4
315,Caceis yet to book the proceeds trade for 03/23/2021,4
316,Transfer wire to be posted at Integrata for SD 06-29-2021.,4
317,AUM plug  to match Caceis posted at Integrata for SD : 08/10/2021,4
318,Net Sub/Red posted at Integrata on 08/12/2021. Caceis to book the same,4
319,Transfer wire posted at Caceis for SD 08-11-2021. Integrata to book the same.,4
320,AUM plug to match Caceis posted at Integrata for SD 08-12-2021.,4
321,Transfer wire to posted at Integrata,4
322,Caceis  yet to process the trade settlement proceeds for the SD of 08-03-2021,4
323,VOLUNTARY CORPORATE ACTIONS booked at Caceis for the SD of 07-16-2021. Integrata to book the same,3
324,Caceis yet to reflect proceeds for trade for SD 05-28-2021.,3
325,Caceis  yet to reflect proceeds for trade for SD 05-28-2021,3
326,Caceis  yet to process the trade settlement  proceeds for the SD of 08-03-2021,3
327,Redemption posted at Integrata. Caceis to book the same for SD 08-12-2021.,3
328,Caceis  yet to process the trade settlement proceeds for the SD of 05-28-2020,3
329,Caceis  yet to process the trade settlement proceeds for the SD of 06-07-2021,2
330,Caceis yet to reflect proceeds from Trade for SD 1-22-2021,2
331,Net Sub/Red-EST  posted at Integrata on 06/03/2021. Caceis to book the same.,2
332,Net Sub/Red  posted at Integrata for SD 06-10-2021. Caceis to book the same.,2
333,AUM  plug  to match Caceis posted at  Integrata  for SD 08-13-2021.,2
334,Caceis  yet to reflect proceeds for trade for SD 06-18-2021,2
335,Caceis yet to book the proceeds trade for 08-06-2021,2
336,Caceis yet to reflect proceeds from Trade for SD 1-29-2021,2
337,Caceis yet to reflect the proceeds for S.D 06-01-2021,2
338,Caceis yet to book the proceeds trade for 07-21-2021,2
339,Redemption  posted at Integrata for SD 06-10-2021. Caceis to book the same.,2
340,Dividend  to be posted at Integrata for SD : 08/13/2021,1
341,"Caceis yet to process the trade settlement proceeds for the SD of 07-21-2021
",1
342,Caceis  yet to  reflect proceeds for trade for SD 06-18-2021,1
343,Transfer  wire booked at Caceis for the SD of 08-16-2021. Integrata to book the same,1
344,Transfer  wire booked at Caceis for the SD of  08-16-2021. Integrata to book the same,1
345,Caceis yet to book the trade proceeds for 06/11/2021,1
346,Caceis  yet to reflect proceeds for trade for SD 06-17-2021,1
347,Caceis  yet to book the proceeds trade for 08/13/2021,1
348,Caceis yet to book the proceeds Trade for 06/14/2021,1
