,ViewData.Side0_UniqueIds,ViewData.Side1_UniqueIds,ViewData.BreakID,ViewData.Status,predicted status,predicted action,predicted category,predicted comment
953,165_4551430295_Integrata,,1860078131,OB,UCB,Close,Close,
954,166_4551430295_Integrata,,1860078137,OB,UCB,Close,Close,
955,94_4551430295_Integrata,,1860077978,OB,UCB,Close,Close,
973,63_4551426010_Integrata,,1859876174,OB,UCB,Close,Close,
2956,,16_4551430044_CACEIS,1859896253,OB,UCB,Close,Close,
2962,,16_4551430048_CACEIS,1859897096,OB,UCB,Close,Close,
13925,,24_455658450_CACEIS,1002374606,OB,UCB,Close,Close,
13934,,26_455658450_CACEIS,1002374597,OB,UCB,Close,Close,
14047,,2_4551318931_CACEIS,1890812360,OB,UCB,Close,Close,
14054,,8_4551267661_CACEIS,1824870500,OB,UCB,Close,Close,
