,Unnamed: 0,Custodian Account,Currency,Ticker1,Cash Standing,len_cash,Fund,Pos_security,Pos_Desc,pos_qnt_diff,Local Price Diff,Local MV Diff
65,65,NEFU_FIFTY_SEVEN_00799769,CAD,ptu1,-64.02,4.0,FIFTY_SEVEN,Futures,S&P/TSX 60 IX FUT SEP21,0,0.0,0.0
66,66,NEFU_FIFTY_SEVEN_00799769,EUR,cfq1,1645.82,20.0,FIFTY_SEVEN,Futures,CAC40 10 EURO FUT AUG21,0,0.0,12925.0
67,67,NEFU_FIFTY_SEVEN_00799769,EUR,eoq1,-505.71,2.0,FIFTY_SEVEN,Futures,AMSTERDAM IDX FUT AUG21,0,0.0,0.0
68,68,NEFU_FIFTY_SEVEN_00799769,EUR,ibq1,105.84,2.0,FIFTY_SEVEN,Futures,IBEX 35 INDX FUTR AUG21,0,0.0,0.0
69,69,NEFU_FIFTY_SEVEN_00799769,EUR,oatu1,-469.93,1.0,FIFTY_SEVEN,Futures,EURO-OAT FUTURE SEP21,0,0.0,400.0
70,70,NEFU_FIFTY_SEVEN_00799769,EUR,stu1,-2736.68,20.0,FIFTY_SEVEN,Futures,FTSE/MIB IDX FUT  Sep21,0,0.0,0.0
71,71,NEFU_FIFTY_SEVEN_00799769,EUR,vgu1,-611.79,2.0,FIFTY_SEVEN,Futures,EURO STOXX 50     Sep21,0,0.0,0.0
72,72,NEFU_FIFTY_SEVEN_00799769,GBP,g u1,-1032.19,3.0,FIFTY_SEVEN,Futures,LONG GILT FUTURE  Sep21,0,0.0,0.0
73,73,NEFU_FIFTY_SEVEN_00799769,HKD,hin1,4.33,18.0,,,,0,,
74,74,NEFU_FIFTY_SEVEN_00799769,JPY,tpu1,-1479.81,18.0,FIFTY_SEVEN,Futures,TOPIX INDX FUTR   Sep21,0,0.0,200000.0
75,75,NEFU_FIFTY_SEVEN_00799769,SGD,qzq1,29.48,2.0,FIFTY_SEVEN,Futures,MSCI SING IX ETS  Aug21,0,0.0,0.0
76,76,NEFU_FIFTY_SEVEN_00799769,THB,,4664.3,1.0,,,,0,,
77,77,NEFU_FIFTY_SEVEN_00799769,USD,,-4660.6,1.0,,,,0,,
78,78,NEFU_FIFTY_SEVEN_00799769,USD,adu1,-107.56,14.0,,,,0,,
79,79,NEFU_FIFTY_SEVEN_00799769,USD,adu1 curncy,102.76,2.0,FIFTY_SEVEN,Futures,AUDUSD CRNCY FUT SEP21,0,73.2154,400.0
80,80,NEFU_FIFTY_SEVEN_00799769,USD,clu1,-1100.0,2.0,FIFTY_SEVEN,Futures,WTI CRUDE FUTURE  Sep21,0,0.0,0.0
81,81,NEFU_FIFTY_SEVEN_00799769,USD,cou1,-92.0,10.0,,,,0,,
82,82,NEFU_FIFTY_SEVEN_00799769,USD,esu1,-11236.92,130.0,FIFTY_SEVEN,Futures,S&P500 EMINI FUT  Sep21,0,0.0,16925.0
83,83,NEFU_FIFTY_SEVEN_00799769,USD,ihq1,1823.38,14.0,FIFTY_SEVEN,Futures,SGX CNX NIFTY ETS AUG21,0,0.0,2294.0
84,84,NEFU_FIFTY_SEVEN_00799769,USD,jyu1,38.62,3.0,,,,0,,
85,85,NEFU_FIFTY_SEVEN_00799769,USD,jyu1 curncy,-1.12,1.0,FIFTY_SEVEN,Futures,JPN YEN CURR FUT  Sep21,0,90.7632,6.25
86,86,NEFU_FIFTY_SEVEN_00799769,USD,ngu1 21,-1477.36,2.0,FIFTY_SEVEN,Futures,SEP 21 NATURAL GAS,-2,4.027,-980.0
87,87,NEFU_FIFTY_SEVEN_00799769,USD,ngu21,1477.36,2.0,FIFTY_SEVEN,Futures,NATURAL GAS FUTR  Sep21,2,-4.027,2850.0
88,88,NEFU_FIFTY_SEVEN_00799769,USD,tyu1,-224.94,2.0,FIFTY_SEVEN,Futures,US 10YR NOTE (CBT SEP21,0,0.0,-0.04
89,89,NEFU_FIFTY_SEVEN_00799769,USD,uxq1,-2399.94,2.0,FIFTY_SEVEN,Futures,CBOE VIX FUTURE   Aug21,0,0.0,2400.0
90,90,NEFU_FIFTY_SEVEN_00799801,USD,esu1,-427.18,57.0,FIFTY_SEVEN,Futures,S&P500 EMINI FUT  Sep21,0,0.0,2000.0
91,91,NEFU_FIFTY_SEVEN_00799802,AUD,xpu1,-21332.67,3.0,FIFTY_SEVEN,Futures,SPI 200 FUTURES   Sep21,19,0.0,57675.0
92,92,NEFU_FIFTY_SEVEN_00799802,EUR,cfq1,-3404.37,9.0,FIFTY_SEVEN,Futures,CAC40 10 EURO FUT AUG21,0,0.0,1420.0
93,93,NEFU_FIFTY_SEVEN_00799802,EUR,fvsq1,-111.73,2.0,FIFTY_SEVEN,Futures,VSTOXX Future     Aug21,0,0.0,95.0
94,94,NEFU_FIFTY_SEVEN_00799802,EUR,fvsu1,-94.09,6.0,FIFTY_SEVEN,Futures,VSTOXX Future     Sep21,0,0.0,100.0
95,95,NEFU_FIFTY_SEVEN_00799802,EUR,gxu1,890.1,25.0,FIFTY_SEVEN,Futures,DAX INDEX FUTURE  Sep21,0,0.0,400.0
96,96,NEFU_FIFTY_SEVEN_00799802,EUR,ibq1,-5892.89,10.0,FIFTY_SEVEN,Futures,IBEX 35 INDX FUTR AUG21,0,0.0,0.0
97,97,NEFU_FIFTY_SEVEN_00799802,EUR,stu1,5.29,4.0,FIFTY_SEVEN,Futures,FTSE/MIB IDX FUT  Sep21,0,0.0,0.0
98,98,NEFU_FIFTY_SEVEN_00799802,EUR,vgu1,-40193.58,131.0,FIFTY_SEVEN,Futures,EURO STOXX 50     Sep21,0,0.0,-42320.0
99,99,NEFU_FIFTY_SEVEN_00799802,GBP,z u1,-6967.52,8.0,FIFTY_SEVEN,Futures,FTSE 100 IDX FUT  Sep21,0,0.0,2690.0
100,100,NEFU_FIFTY_SEVEN_00799802,JPY,jbu1,-9.45,1.0,FIFTY_SEVEN,Futures,JPN 10Y BOND(OSE) SEP21,3,0.0,390000.0
101,101,NEFU_FIFTY_SEVEN_00799802,JPY,tpu1,1433.6,2.0,FIFTY_SEVEN,Futures,TOPIX INDX FUTR   Sep21,24,0.0,940000.0
102,102,NEFU_FIFTY_SEVEN_00799802,USD,tyu1,78.12,2.0,FIFTY_SEVEN,Futures,US 10YR NOTE (CBT SEP21,0,0.0,0.01
103,103,NEFU_FIFTY_SEVEN_00799802,USD,uxn1,12.86,9.0,,,,0,,
104,104,NEFU_FIFTY_SEVEN_00799802,USD,uxq1,-687.6,11.0,FIFTY_SEVEN,Futures,CBOE VIX FUTURE   Aug21,0,0.0,700.0
105,105,NEFU_FIFTY_SEVEN_00799802,USD,uxu1,300.08,2.0,FIFTY_SEVEN,Futures,CBOE VIX FUTURE   Sep21,0,0.0,300.0
106,106,NEFU_FIFTY_SEVEN_00799802,ZAR,aiu1,-3072.24,7.0,FIFTY_SEVEN,Futures,FTSE/JSE TOP 40   Sep21,0,66.0,-302080.0
107,107,NEFU_FIFTY_SEVEN_00799803,AUD,xmu1,-34.81,20.0,FIFTY_SEVEN,Futures,AUST 10Y BOND FUT SEP21,0,0.0,0.12
108,108,NEFU_FIFTY_SEVEN_00799803,AUD,xpu1,-131038.87,132.0,FIFTY_SEVEN,Futures,SPI 200 FUTURES   Sep21,0,0.0,-27950.0
109,109,NEFU_FIFTY_SEVEN_00799803,AUD,ymu1,1286.75,53.0,FIFTY_SEVEN,Futures,AUST 3YR BOND FUT SEP21,-60,99.71,2264.46
110,110,NEFU_FIFTY_SEVEN_00799803,AUD,ymu1,1286.75,53.0,FIFTY_SEVEN,Futures,AUST 3YR BOND FUT Sep21,60,-99.71,-2265.45
111,111,NEFU_FIFTY_SEVEN_00799803,HKD,hcq1,-7089.51,7.0,FIFTY_SEVEN,Futures,H-SHARES IDX FUT AUG21,0,0.0,29350.0
112,112,NEFU_FIFTY_SEVEN_00799803,HKD,hiq1,45780.6,36.0,FIFTY_SEVEN,Futures,HANG SENG IDX FUT AUG21,0,-25794.45,-398750.0
113,113,NEFU_FIFTY_SEVEN_00799803,JPY,tpu1,-35609.66,154.0,FIFTY_SEVEN,Futures,TOPIX INDX FUTR   Sep21,0,0.0,27460000.0
114,114,NEFU_FIFTY_SEVEN_00799803,MYR,ikq1,-16.25,3.0,,,,0,,
115,115,NEFU_FIFTY_SEVEN_00799803,SGD,qzq1,1861.14,30.0,FIFTY_SEVEN,Futures,MSCI SING IX ETS  Aug21,0,0.0,-2230.0
116,116,NEFU_FIFTY_SEVEN_00799803,THB,bcu1,4629.09,17.0,FIFTY_SEVEN,Futures,SET50 FUTURES     Sep21,0,0.0,-97940.0
117,117,NEFU_FIFTY_SEVEN_00799803,USD,ihm1,111.58,1.0,,,,0,,
118,118,NEFU_FIFTY_SEVEN_00799803,USD,ihn1,119.15,6.0,,,,0,,
119,119,NEFU_FIFTY_SEVEN_00799803,USD,twtn1,70.0,1.0,,,,0,,
120,120,NEFU_FIFTY_SEVEN_00799803,USD,twtq1,-65450.0,38.0,FIFTY_SEVEN,Futures,FTSE TAIWAN INDEX AUG21,-5,0.0,90660.0
121,121,NEFU_FIFTY_SEVEN_00799803,USD,xun1,-91.2,48.0,,,,0,,
122,122,NEFU_FIFTY_SEVEN_00799803,USD,xuq1,-52888.2,20.0,FIFTY_SEVEN,Futures,FTSE CHINA A50    Aug21,0,0.0,59294.0
123,123,NEFU_FIFTY_SEVEN_00799804,KRW,kaau1,-31715.7,9.0,FIFTY_SEVEN,Futures,KOREA 10YR BND FU SEP21,0,0.0,11580000.0
124,124,NEFU_FIFTY_SEVEN_00799804,KRW,keu1,4.9,3.0,FIFTY_SEVEN,Futures,KOREA 3YR BND FUT SEP21,0,0.0,0.0
125,125,NEFU_FIFTY_SEVEN_00799804,KRW,kmu1,-6672.99,122.0,FIFTY_SEVEN,Futures,KOSPI2 INX FUT    Sep21,0,0.0,67200000.0
126,126,NEFU_FIFTY_SEVEN_00799811,EUR,sxou1,-43.47,1.0,FIFTY_SEVEN,Futures,STOXX EUROPE 600  Sep21,0,0.0,0.0
127,127,NEFU_FIFTY_SEVEN_00799811,HKD,hiu1,-1.44,1.0,FIFTY_SEVEN,Futures,SEP 21 HS INDEX,1,259.74,15800.0
128,128,NEFU_FIFTY_SEVEN_00799812,KRW,kmu1,-277.34,2.0,FIFTY_SEVEN,Futures,KOSPI2 INX FUT    Sep21,0,0.0,200000.0
129,129,NEFU_FIFTY_SEVEN_00799814,KRW,kuq1,-18.91,1.0,,,,0,,
130,130,NEFU_FIFTY_SEVEN_00799816,USD,btcj1 curncy,4117.56,2.0,,,,0,,
131,131,NEFU_FIFTY_SEVEN_00799817,EUR,vgu1,-8.28,2.0,,,,0,,
132,132,NEFU_FIFTY_SEVEN_L20099762,PLN,krsu1,3.0,19.0,FIFTY_SEVEN,Futures,WIG20 INDEX FUT   Sep21,0,0.0,14120.0
133,133,NEFU_FIFTY_SEVEN_L20099762,PLN,krsu1,3.0,,FIFTY_SEVEN,Futures,WIG20 INDEX FUT   Sep21,0,0.0,14120.0
