,Fund,Custodian Account,Pos_security,Currency,Pos_Desc,pos_qnt_diff,Local Price Diff,Local MV Diff,Ticker1,col_to_merge
94,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,USD,CBOE VIX FUTURE   Aug21,0,0.0,2400.0,uxq1,NEFU_FIFTY_SEVEN_00799769USDuxq1
95,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,GBP,FTSE 100 IDX FUT  Sep21,0,0.0,2690.0,z u1,NEFU_FIFTY_SEVEN_00799802GBPz u1
96,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,USD,CBOE VIX FUTURE   Aug21,0,0.0,700.0,uxq1,NEFU_FIFTY_SEVEN_00799802USDuxq1
97,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,USD,CBOE VIX FUTURE   Sep21,0,0.0,300.0,uxu1,NEFU_FIFTY_SEVEN_00799802USDuxu1
98,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,EUR,EURO STOXX 50     Sep21,0,0.0,-42320.0,vgu1,NEFU_FIFTY_SEVEN_00799802EURvgu1
99,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,USD,AUDUSD CRNCY FUT SEP21,0,73.2154,1955.0,adu1 curncy,NEFU_FIFTY_SEVEN_00799760USDadu1 curncy
100,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,USD,AUDUSD CRNCY FUT SEP21,0,73.2154,400.0,adu1 curncy,NEFU_FIFTY_SEVEN_00799769USDadu1 curncy
101,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,USD,SOYBEAN OIL FUTR  Dec21,0,61.182,186.0,boz1,NEFU_FIFTY_SEVEN_00799760USDboz1
102,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799762,Futures,USD,SOYBEAN OIL FUTR  Dec21,0,61.182,72.0,boz1,NEFU_FIFTY_SEVEN_00799762USDboz1
103,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,USD,US 5YR NOTE (CBT) SEP21,0,3.75e-05,195.29,fvu1,NEFU_FIFTY_SEVEN_00799760USDfvu1
104,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799762,Futures,USD,US 5YR NOTE (CBT) SEP21,0,3.75e-05,62.46,fvu1,NEFU_FIFTY_SEVEN_00799762USDfvu1
105,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,USD,US 5YR NOTE (CBT) SEP21,0,3.75e-05,-0.04,fvu1,NEFU_FIFTY_SEVEN_00799802USDfvu1
106,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799803,Futures,USD,US 5YR NOTE (CBT) SEP21,0,3.75e-05,437.45,fvu1,NEFU_FIFTY_SEVEN_00799803USDfvu1
107,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799803,Futures,HKD,H-SHARES IDX FUT AUG21,0,0.0,29350.0,hcq1,NEFU_FIFTY_SEVEN_00799803HKDhcq1
108,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,AUD,90-DAY BANK BILL  Sep22,0,0.0,-763.22,iru2,NEFU_FIFTY_SEVEN_00799760AUDiru2
109,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799803,Futures,HKD,HANG SENG IDX FUT AUG21,0,-25794.45,-398750.0,hiq1,NEFU_FIFTY_SEVEN_00799803HKDhiq1
110,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,USD,NY HARB ULSD FUT SEP21,0,210.5136,2902.2,hou1,NEFU_FIFTY_SEVEN_00799760USDhou1
111,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,USD,JPN YEN CURR FUT  Sep21,0,90.7632,6.25,jyu1 curncy,NEFU_FIFTY_SEVEN_00799769USDjyu1 curncy
112,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,USD,WTI CRUDE FUTURE  Sep21,0,0.0,580.0,clu1,NEFU_FIFTY_SEVEN_00799760USDclu1
113,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799762,Futures,USD,SOYBEAN FUTURE    Nov21,0,0.0,275.0,s x1,NEFU_FIFTY_SEVEN_00799762USDs x1
114,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799803,Futures,JPY,NIKKEI 225  (OSE) Sep21,0,0.0,100000.0,nku1,NEFU_FIFTY_SEVEN_00799803JPYnku1
115,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,JPY,TOPIX INDX FUTR   Sep21,0,0.0,200000.0,tpu1,NEFU_FIFTY_SEVEN_00799769JPYtpu1
116,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799803,Futures,JPY,TOPIX INDX FUTR   Sep21,0,0.0,27460000.0,tpu1,NEFU_FIFTY_SEVEN_00799803JPYtpu1
117,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,USD,US 2YR NOTE (CBT) SEP21,0,-3.125e-05,-0.12,tuu1,NEFU_FIFTY_SEVEN_00799760USDtuu1
118,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,USD,SOYBEAN MEAL FUTR DEC21,0,0.0,250.0,smz1,NEFU_FIFTY_SEVEN_00799760USDsmz1
119,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,JPY,NIKKEI 225 MINI   Sep21,0,0.0,9500.0,nou1,NEFU_FIFTY_SEVEN_00799760JPYnou1
120,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799762,Futures,HKD,H-SHARES IDX FUT AUG21,0,0.0,159500.0,hcq1,NEFU_FIFTY_SEVEN_00799762HKDhcq1
121,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799802,Futures,USD,US 2YR NOTE (CBT) SEP21,0,-3.125e-05,195.27,tuu1,NEFU_FIFTY_SEVEN_00799802USDtuu1
122,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799762,Futures,USD,US 10YR NOTE (CBT SEP21,0,0.0,139.67,tyu1,NEFU_FIFTY_SEVEN_00799762USDtyu1
123,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,USD,NEW ZEALAND $ FUT SEP21,0,69.4386,260.0,nvu1 curncy,NEFU_FIFTY_SEVEN_00799760USDnvu1 curncy
124,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799803,Futures,USD,US 2YR NOTE (CBT) SEP21,0,-3.125e-05,0.11,tuu1,NEFU_FIFTY_SEVEN_00799803USDtuu1
125,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799769,Futures,USD,US 10YR NOTE (CBT SEP21,0,0.0,-0.04,tyu1,NEFU_FIFTY_SEVEN_00799769USDtyu1
126,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,USD,US 10YR NOTE (CBT SEP21,0,0.0,-0.19,tyu1,NEFU_FIFTY_SEVEN_00799760USDtyu1
127,FIFTY_SEVEN,NEFU_FIFTY_SEVEN_00799760,Futures,USD,GASOLINE RBOB FUT SEP21,0,224.8092,289.8,xbu1,NEFU_FIFTY_SEVEN_00799760USDxbu1
