,BreakID,BusinessDate,Final_predicted_break,ML_flag,Predicted_Status,Predicted_action,SetupID,SourceCombinationCode,TaskID,probability_No_pair,probability_UMB,probability_UMR,probability_UMT,Side1_UniqueIds,PredictedComment,PredictedCategory,Side0_UniqueIds,ActionType,ActionTypeCode,ReconSetupName,ClientShortCode,CreatedDate
54,1860344085,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,149_8971470069_Newedge,,match,51_8971470069_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
55,1860344094,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,21_8971470069_Newedge,,match,52_8971470069_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
56,1860344111,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,51_8971470069_Newedge,,match,114_8971470069_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
57,1860344209,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,60_8971470069_Newedge,,match,162_8971470069_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
58,1860344237,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,108_8971470069_Newedge,,match,238_8971470069_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
59,1860344086,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,190_8971470069_Newedge,,match,,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
60,1860344177,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,207_8971470069_Newedge,,match,,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
61,1860344219,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,282_8971470069_Newedge,,match,,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
62,2083549622,2021-08-09 00:00:00+00:00,,ML,UCB,pair,897,-1184097190,8971470069,,,,,240_8971462157_Newedge,,match,,CLOSE,2,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
63,2033341838,2021-08-09 00:00:00+00:00,,ML,UMF,pair,897,-1184097190,8971470069,,,,,268_8971422667_Newedge,,match,630_8971422667_Advent Geneva,FORCE MATCH,5,Schonfeld Cash - 57,Schonfeld,2021-08-16 00:00:00+00:00
